dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
IntroProg,DKVMN,42,1e 2,0.2,100_50_50_50,32,200,split,,,,0.755/0.027,0.824/0.012,0.756/0.028,0.753/0.068,0.754/0.048,0.486/0.028,0.407/0.016,,,,0.502/0.028
IntroProg,DKVMN,42,1e 3,0.2,50_50_50_100,32,200,split,true,,,0.755/0.029,0.825/0.013,0.752/0.026,0.764/0.065,0.757/0.045,0.486/0.033,0.406/0.017,,,,0.5/0.03
IntroProg,DKVMN,42,1e 2,0.2,100_50_20_100,32,200,split,true,,,0.755/0.028,0.825/0.014,0.755/0.027,0.757/0.064,0.755/0.046,0.487/0.03,0.407/0.018,,,,0.501/0.032
IntroProg,DKVMN,13,1e 2,0.2,100_20_20_100,32,200,split,,,,0.755/0.029,0.825/0.015,0.755/0.027,0.757/0.058,0.756/0.043,0.487/0.033,0.406/0.018,,,,0.5/0.032
IntroProg,DKVMN,42,1e 2,0.2,100_50_20_1,32,200,split,,true,,0.756/0.029,0.825/0.014,0.757/0.025,0.756/0.062,0.756/0.044,0.49/0.032,0.406/0.017,,,,0.5/0.032
IntroProg,DKVMN,13,1e 2,0.2,100_50_50_100,32,200,split,true,,,0.755/0.03,0.825/0.014,0.751/0.025,0.764/0.059,0.757/0.042,0.487/0.034,0.406/0.017,,,,0.501/0.031
IntroProg,DKVMN,13,1e 2,0.2,100_20_50_50,32,200,split,,,,0.756/0.029,0.826/0.015,0.755/0.028,0.759/0.057,0.757/0.043,0.488/0.033,0.406/0.018,,,,0.501/0.032
IntroProg,DKVMN,42,1e 3,0.2,50_50_50_1,32,200,split,,true,,0.757/0.028,0.826/0.014,0.756/0.028,0.759/0.06,0.757/0.044,0.49/0.032,0.406/0.018,,,,0.499/0.033
IntroProg,DKVMN,13,1e 3,0.2,100_50_20_1,32,200,split,true,true,,0.756/0.026,0.826/0.013,0.754/0.035,0.758/0.054,0.756/0.044,0.489/0.028,0.406/0.017,,,,0.499/0.031
IntroProg,DKVMN,13,1e 3,0.2,50_50_50_50,32,200,split,true,,,0.755/0.029,0.826/0.014,0.755/0.026,0.757/0.06,0.756/0.043,0.488/0.033,0.406/0.018,,,,0.499/0.032
IntroProg,DKVMN,13,1e 3,0.2,50_20_20_1,32,200,split,true,true,,0.756/0.027,0.827/0.014,0.755/0.033,0.758/0.053,0.756/0.043,0.489/0.03,0.406/0.017,,,,0.499/0.031
IntroProg,DKVMN,42,1e 3,0.2,100_50_50_100,32,200,split,true,,,0.756/0.029,0.825/0.012,0.752/0.025,0.764/0.066,0.757/0.045,0.487/0.033,0.407/0.017,,,,0.501/0.03
IntroProg,DKVMN,42,1e 2,0.2,50_20_20_100,32,200,split,,,,0.755/0.028,0.826/0.014,0.756/0.024,0.754/0.069,0.754/0.047,0.486/0.03,0.406/0.018,,,,0.5/0.033
IntroProg,DKVMN,13,1e 3,0.2,100_50_20_50,32,200,split,,,,0.757/0.029,0.826/0.015,0.757/0.025,0.758/0.061,0.757/0.043,0.49/0.033,0.405/0.019,,,,0.498/0.034
IntroProg,DKVMN,42,1e 3,0.2,100_50_20_1,32,200,split,,true,,0.755/0.027,0.826/0.014,0.752/0.032,0.759/0.058,0.756/0.045,0.486/0.029,0.406/0.017,,,,0.499/0.031
IntroProg,DKVMN,13,1e 3,0.2,100_20_50_1,32,200,split,,true,,0.755/0.026,0.826/0.013,0.754/0.037,0.757/0.052,0.755/0.045,0.488/0.027,0.406/0.017,,,,0.499/0.031
IntroProg,DKVMN,13,1e 3,0.2,50_50_50_100,32,200,split,true,,,0.755/0.029,0.825/0.013,0.755/0.027,0.758/0.059,0.756/0.043,0.488/0.034,0.406/0.018,,,,0.5/0.032
IntroProg,DKVMN,42,1e 2,0.2,50_20_20_1,32,200,split,true,true,,0.756/0.029,0.826/0.014,0.753/0.025,0.762/0.064,0.757/0.045,0.488/0.032,0.406/0.018,,,,0.499/0.033
IntroProg,DKVMN,42,1e 2,0.2,50_20_20_1,32,200,split,,true,,0.756/0.029,0.825/0.014,0.756/0.024,0.757/0.066,0.756/0.046,0.488/0.032,0.406/0.018,,,,0.499/0.033
IntroProg,DKVMN,42,1e 2,0.2,50_50_20_50,32,200,split,true,,,0.755/0.029,0.825/0.014,0.755/0.026,0.756/0.065,0.755/0.045,0.486/0.032,0.407/0.018,,,,0.501/0.032
IntroProg,DKVMN,13,1e 3,0.2,50_50_20_100,32,200,split,,,,0.757/0.029,0.826/0.014,0.756/0.025,0.758/0.061,0.757/0.043,0.49/0.033,0.406/0.018,,,,0.499/0.033
IntroProg,DKVMN,42,1e 2,0.2,50_20_50_100,32,200,split,,,,0.755/0.029,0.825/0.014,0.759/0.025,0.748/0.065,0.753/0.046,0.487/0.03,0.406/0.018,,,,0.5/0.034
IntroProg,DKVMN,42,1e 3,0.2,100_20_20_1,32,200,split,,true,,0.757/0.027,0.826/0.014,0.755/0.03,0.76/0.057,0.757/0.044,0.491/0.029,0.406/0.017,,,,0.499/0.032
IntroProg,DKVMN,13,1e 2,0.2,50_20_50_1,32,200,split,true,true,,0.756/0.028,0.826/0.014,0.752/0.032,0.765/0.051,0.758/0.041,0.489/0.033,0.406/0.018,,,,0.5/0.033
IntroProg,DKVMN,13,1e 2,0.2,50_20_20_50,32,200,split,true,,,0.756/0.028,0.826/0.014,0.752/0.029,0.765/0.056,0.758/0.042,0.488/0.033,0.407/0.017,,,,0.501/0.029
IntroProg,DKVMN,42,1e 3,0.2,50_50_50_50,32,200,split,,,,0.756/0.029,0.826/0.014,0.755/0.023,0.761/0.068,0.757/0.046,0.488/0.033,0.406/0.018,,,,0.499/0.032
IntroProg,DKVMN,42,1e 2,0.2,100_50_50_100,32,200,split,true,,,0.756/0.028,0.825/0.013,0.757/0.027,0.754/0.067,0.755/0.047,0.488/0.029,0.407/0.017,,,,0.501/0.032
IntroProg,DKVMN,42,1e 3,0.2,50_50_20_100,32,200,split,true,,,0.755/0.03,0.825/0.014,0.753/0.023,0.763/0.066,0.757/0.044,0.486/0.035,0.406/0.018,,,,0.5/0.032
IntroProg,DKVMN,42,1e 2,0.2,100_50_20_50,32,200,split,,,,0.755/0.028,0.824/0.013,0.757/0.024,0.753/0.071,0.754/0.048,0.486/0.029,0.407/0.017,,,,0.501/0.032
IntroProg,DKVMN,42,1e 2,0.2,100_20_20_50,32,200,split,,,,0.756/0.029,0.826/0.014,0.759/0.021,0.752/0.07,0.755/0.046,0.488/0.032,0.406/0.018,,,,0.499/0.033
IntroProg,DKVMN,13,1e 3,0.2,50_50_20_50,32,200,split,,,,0.757/0.029,0.827/0.015,0.756/0.025,0.759/0.061,0.757/0.043,0.49/0.033,0.405/0.019,,,,0.498/0.034
IntroProg,DKVMN,42,1e 3,0.2,100_50_50_1,32,200,split,,true,,0.756/0.027,0.826/0.013,0.754/0.03,0.76/0.06,0.757/0.045,0.489/0.029,0.406/0.017,,,,0.499/0.031
IntroProg,DKVMN,42,1e 3,0.2,50_50_50_100,32,200,split,,,,0.757/0.029,0.826/0.015,0.756/0.023,0.76/0.067,0.757/0.045,0.489/0.033,0.405/0.019,,,,0.498/0.034
IntroProg,DKVMN,13,1e 2,0.2,50_50_20_50,32,200,split,,,,0.755/0.029,0.825/0.014,0.754/0.027,0.759/0.059,0.756/0.042,0.488/0.033,0.407/0.018,,,,0.501/0.032
IntroProg,DKVMN,13,1e 3,0.2,100_20_50_100,32,200,split,true,,,0.755/0.029,0.825/0.013,0.754/0.028,0.758/0.058,0.756/0.043,0.487/0.033,0.406/0.017,,,,0.5/0.031
IntroProg,DKVMN,42,1e 3,0.2,100_50_20_50,32,200,split,true,,,0.755/0.028,0.825/0.013,0.752/0.026,0.762/0.065,0.757/0.046,0.486/0.032,0.406/0.017,,,,0.5/0.031
IntroProg,DKVMN,42,1e 2,0.2,50_20_50_100,32,200,split,true,,,0.755/0.028,0.825/0.012,0.757/0.025,0.752/0.069,0.754/0.048,0.486/0.029,0.407/0.017,,,,0.501/0.031
IntroProg,DKVMN,13,1e 2,0.2,50_50_50_50,32,200,split,true,,,0.755/0.028,0.826/0.014,0.752/0.03,0.764/0.056,0.757/0.042,0.488/0.032,0.406/0.018,,,,0.501/0.031
IntroProg,DKVMN,13,1e 3,0.2,50_50_20_50,32,200,split,true,,,0.755/0.03,0.826/0.014,0.755/0.026,0.757/0.058,0.756/0.042,0.488/0.035,0.406/0.018,,,,0.499/0.032
IntroProg,DKVMN,13,1e 3,0.2,100_20_50_1,32,200,split,true,true,,0.755/0.026,0.826/0.013,0.753/0.037,0.759/0.052,0.756/0.044,0.489/0.027,0.406/0.017,,,,0.499/0.03
IntroProg,DKVMN,13,1e 2,0.2,100_20_20_50,32,200,split,true,,,0.755/0.028,0.826/0.015,0.751/0.03,0.765/0.055,0.758/0.042,0.488/0.033,0.407/0.017,,,,0.501/0.03
IntroProg,DKVMN,42,1e 2,0.2,100_50_50_1,32,200,split,true,true,,0.756/0.029,0.825/0.014,0.753/0.025,0.762/0.066,0.757/0.046,0.488/0.032,0.406/0.018,,,,0.499/0.034
IntroProg,DKVMN,13,1e 3,0.2,50_20_50_50,32,200,split,,,,0.756/0.029,0.826/0.014,0.756/0.025,0.758/0.061,0.757/0.043,0.489/0.033,0.406/0.018,,,,0.499/0.033
IntroProg,DKVMN,13,1e 2,0.2,100_20_20_100,32,200,split,true,,,0.755/0.029,0.826/0.015,0.751/0.029,0.766/0.055,0.758/0.042,0.488/0.033,0.407/0.017,,,,0.501/0.03
IntroProg,DKVMN,13,1e 2,0.2,50_20_20_1,32,200,split,,true,,0.755/0.028,0.826/0.014,0.753/0.032,0.76/0.053,0.756/0.043,0.488/0.031,0.406/0.018,,,,0.5/0.032
IntroProg,DKVMN,13,1e 2,0.2,50_50_50_100,32,200,split,,,,0.755/0.029,0.825/0.014,0.753/0.027,0.761/0.059,0.757/0.043,0.487/0.033,0.407/0.018,,,,0.501/0.031
IntroProg,DKVMN,42,1e 2,0.2,50_20_50_50,32,200,split,true,,,0.756/0.03,0.825/0.014,0.758/0.02,0.753/0.069,0.755/0.045,0.487/0.033,0.406/0.018,,,,0.5/0.033
IntroProg,DKVMN,42,1e 2,0.2,100_50_20_50,32,200,split,true,,,0.756/0.03,0.825/0.014,0.757/0.021,0.756/0.068,0.756/0.045,0.487/0.033,0.406/0.018,,,,0.5/0.033
IntroProg,DKVMN,13,1e 3,0.2,100_20_20_1,32,200,split,,true,,0.756/0.027,0.826/0.013,0.756/0.034,0.756/0.052,0.756/0.043,0.489/0.029,0.406/0.017,,,,0.499/0.031
IntroProg,DKVMN,42,1e 2,0.2,50_50_20_100,32,200,split,,,,0.754/0.028,0.824/0.013,0.76/0.027,0.744/0.067,0.751/0.047,0.485/0.028,0.407/0.018,,,,0.501/0.033
IntroProg,DKVMN,13,1e 3,0.2,50_20_20_50,32,200,split,true,,,0.756/0.029,0.826/0.014,0.755/0.027,0.758/0.059,0.756/0.043,0.488/0.034,0.406/0.018,,,,0.499/0.032
IntroProg,DKVMN-Paper,42,1e 3,0.2,50_50_20_50,32,200,split,true,,,0.743/0.024,0.809/0.011,0.734/0.042,0.759/0.062,0.746/0.052,0.461/0.024,0.416/0.014,,,,0.519/0.027
IntroProg,DKVMN-Paper,13,1e 2,0.2,100_50_20_100,32,200,split,true,,,0.747/0.027,0.815/0.014,0.742/0.037,0.755/0.057,0.748/0.047,0.47/0.028,0.412/0.016,,,,0.512/0.029
IntroProg,DKVMN-Paper,42,1e 3,0.2,50_50_20_1,32,200,split,true,true,,0.748/0.029,0.817/0.015,0.74/0.03,0.763/0.058,0.751/0.044,0.471/0.033,0.411/0.018,,,,0.511/0.034
IntroProg,DKVMN-Paper,42,1e 3,0.2,50_50_50_1,32,200,split,true,true,,0.748/0.027,0.818/0.014,0.738/0.035,0.769/0.056,0.753/0.045,0.471/0.031,0.411/0.017,,,,0.511/0.031
IntroProg,DKVMN-Paper,13,1e 3,0.2,50_50_20_100,32,200,split,true,,,0.743/0.026,0.81/0.013,0.738/0.04,0.751/0.057,0.744/0.048,0.462/0.027,0.415/0.016,,,,0.518/0.029
IntroProg,DKVMN-Paper,42,1e 3,0.2,100_50_20_100,32,200,split,,,,0.742/0.025,0.809/0.013,0.737/0.041,0.749/0.063,0.743/0.051,0.459/0.026,0.416/0.016,,,,0.52/0.029
IntroProg,DKVMN-Paper,42,1e 2,0.2,100_50_20_1,32,200,split,true,true,,0.746/0.029,0.814/0.015,0.74/0.029,0.758/0.065,0.748/0.047,0.466/0.031,0.413/0.018,,,,0.516/0.032
